"Player","Team","G","MP","FG_pct","FTA","TRB","AST","stocks","PTS","Value_Billions","awards_1","awards_2plus","avg_salary_millions","Age_22_26","Age_27_31","Age_32_34","Age_35_plus","Pos_PF","Pos_PG","Pos_SF","Pos_SG","Age","Awards"
"Bilal Coulibaly","WAS",59,33,0.421,3.1,5,3.4,2,12.3,4.7,0,0,8.2578,0,0,0,0,0,0,1,0,NA,"0 awards"
"Ayo Dosunmu","CHI",46,30.3,0.492,1.7,3.5,4.5,1.3,12.3,6,0,0,7.5185,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Daniel Gafford","DAL",57,21.5,0.702,3.4,6.8,1.4,2.2,12.3,5.1,0,0,17.1917,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Jaden McDaniels","MIN",82,31.9,0.477,1.6,5.7,2,2.2,12.2,3.6,0,0,27.1034,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Jabari Smith Jr.","HOU",57,30.1,0.438,2.2,7,1.1,1.1,12.2,5.9,0,0,21.3848,0,0,0,0,1,0,0,0,NA,"0 awards"
"Caris LeVert","2TM",64,24.9,0.467,2.4,3.2,3.4,1.4,12.1,NA,0,0,14.4566,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Drew Timme","BRK",9,28.2,0.441,1.8,7.2,2.2,0.5,12.1,5.6,0,0,1.9554,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Tari Eason","HOU",57,24.9,0.487,1.8,6.4,1.5,2.6,12,5.9,0,0,5.6758,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Rudy Gobert","MIN",72,33.2,0.669,3.8,10.9,1.8,2.2,12,3.6,0,1,36.5,0,0,1,0,0,0,0,0,"Age_3","2+ awards"
"Aaron Nesmith","IND",45,25,0.507,1.8,4,1.2,1.2,12,4.2,0,0,11,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Aaron Wiggins","OKC",76,22.9,0.488,1.2,3.9,1.8,1,12,4.35,0,0,9.0047,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Khris Middleton","2TM",37,22.8,0.475,2.3,3.7,4.1,1.1,11.9,NA,0,0,33.2963,0,0,1,0,0,0,1,0,"Age_3","0 awards"
"Jalen Duren","DET",78,26.1,0.692,3.1,10.3,2.7,1.8,11.8,3.65,0,0,6.4831,0,0,0,0,0,0,0,0,NA,"0 awards"
"Donte DiVincenzo","MIN",62,25.9,0.422,1,3.7,3.6,1.5,11.7,3.6,0,0,12.2625,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Brandin Podziemski","GSW",64,26.8,0.445,1.5,5.1,3.4,1.3,11.7,11,0,0,4.6837,0,0,0,0,0,0,0,1,NA,"0 awards"
"Corey Kispert","WAS",61,26.3,0.451,1.4,3,1.7,0.6,11.6,4.7,0,0,13.5125,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Jeremy Sochan","SAS",54,25.3,0.535,2.3,6.5,2.4,1.3,11.4,4.4,0,0,7.0962,0,0,0,0,1,0,0,0,NA,"0 awards"
"Toumani Camara","POR",78,32.7,0.458,1.6,5.8,2.2,2.1,11.3,4.25,1,0,2.2217,1,0,0,0,1,0,0,0,"Age_1","1 award"
"Isaiah Hartenstein","OKC",57,27.9,0.581,2.1,10.7,3.8,1.9,11.2,4.35,0,0,28.5,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Buddy Hield","GSW",82,22.7,0.417,0.8,3.2,1.6,1.1,11.1,11,0,0,9.6585,0,0,1,0,0,0,0,1,"Age_3","0 awards"
"Jrue Holiday","BOS",62,30.6,0.443,1.2,4.3,3.9,1.5,11.1,6.7,0,0,34.8,0,0,1,0,0,1,0,0,"Age_3","0 awards"
"Walker Kessler","UTA",58,30,0.663,2.6,12.2,1.7,3,11.1,4.1,0,0,4.8789,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Gary Trent Jr.","MIL",74,25.6,0.431,1.2,2.3,1.2,1.1,11.1,4.3,0,0,3.7895,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Spencer Dinwiddie","DAL",79,27,0.416,3.1,2.6,4.4,1.1,11,5.1,0,0,NA,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Tim Hardaway Jr.","DET",77,28,0.406,1.9,2.4,1.6,0.6,11,3.65,0,0,2.2963,0,0,1,0,0,0,0,1,"Age_3","0 awards"
"Duncan Robinson","MIA",74,24.1,0.437,0.7,2.3,2.4,0.6,11,5.7,0,0,19.289,0,1,0,0,0,0,1,0,"Age_2","0 awards"
"Guerschon Yabusele","PHI",70,27.1,0.501,2,5.6,2.1,1.1,11,5.45,0,0,5.6375,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Brice Sensabaugh","UTA",71,20.2,0.459,1,3,1.5,0.7,10.9,4.1,0,0,3.778,0,0,0,0,0,0,1,0,NA,"0 awards"
"Bogdan Bogdanović","2TM",54,25,0.427,1.2,2.9,2.7,1,10.8,NA,0,0,16.02,0,0,1,0,0,0,0,1,"Age_3","0 awards"
"Jordan Hawkins","NOP",56,23.6,0.372,1.8,2.8,1.2,0.9,10.8,3.55,0,0,5.8816,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Brandon Boston Jr.","NOP",42,23.6,0.436,2,3.2,2.2,1.5,10.7,3.55,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Nikola Jović","MIA",46,25.1,0.456,1.9,3.9,2.8,1.1,10.7,5.7,0,0,4.4454,0,0,0,0,1,0,0,0,NA,"0 awards"
"Grayson Allen","PHO",64,24.1,0.448,1.8,3,2.1,1.1,10.6,5.43,0,0,18.125,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Keon Johnson","BRK",79,24.4,0.389,1.8,3.8,2.2,1.4,10.6,5.6,0,0,2.3496,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Terry Rozier","MIA",64,25.9,0.391,1.7,3.7,2.6,0.8,10.6,5.7,0,0,26.643,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Obi Toppin","IND",79,19.6,0.529,1.4,4,1.6,1,10.5,4.2,0,0,15.0083,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Jonas Valančiūnas","2TM",81,18.8,0.55,2,7.7,2,1.1,10.4,NA,0,0,10.1975,0,0,1,0,0,0,0,0,"Age_3","0 awards"
"Ochai Agbaji","TOR",64,27.2,0.498,0.8,3.8,1.5,1.4,10.4,5.4,0,0,6.3835,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Jaylen Wells","MEM",79,25.9,0.425,1.7,3.4,1.7,0.7,10.4,3.5,0,0,2.2462,0,0,0,0,0,0,0,1,NA,"0 awards"
"Grant Williams","CHO",16,29.9,0.439,2.3,5.1,2.3,1.9,10.4,3.8,0,0,13.9556,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Kevin Porter Jr.","2TM",75,19.8,0.449,2.3,3.7,3.4,1.3,10.3,NA,0,0,5.2624,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Jose Alvarado","NOP",56,24.4,0.392,1.3,2.4,4.6,1.6,10.3,3.55,0,0,4.5,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Nic Claxton","BRK",70,26.9,0.563,2.2,7.4,2.2,2.3,10.3,5.6,0,0,23.1477,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Herbert Jones","NOP",20,32.4,0.436,2,3.9,3.3,2.4,10.3,3.55,0,0,19.2835,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"De'Anthony Melton","GSW",6,20.2,0.407,1.3,3.3,2.8,1.5,10.3,11,0,0,3.2664,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Isaiah Joe","OKC",74,21.7,0.44,0.8,2.6,1.6,0.7,10.2,4.35,0,0,11.6694,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Tyus Jones","PHO",81,26.8,0.448,0.7,2.4,5.3,1,10.2,5.43,0,0,7,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Trendon Watford","BRK",44,20.8,0.469,2.8,3.6,2.6,0.9,10.2,5.6,0,0,2.6314,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Keion Brooks Jr.","NOP",14,23.7,0.486,2.1,4.1,0.9,1.4,10.1,3.55,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Luguentz Dort","OKC",71,29.2,0.435,0.6,4.1,1.6,1.6,10.1,4.35,1,0,18.2222,1,0,0,0,0,0,1,0,"Age_1","1 award"
"Justin Edwards","PHI",44,26.3,0.455,1,3.4,1.6,1.4,10.1,5.45,0,0,2.3588,0,0,0,0,0,0,1,0,NA,"0 awards"
"Derrick Jones Jr.","LAC",77,24.3,0.526,1.5,3.4,0.8,1.4,10.1,7.5,0,0,10.2381,0,1,0,0,0,0,1,0,"Age_2","0 awards"
"Ausar Thompson","DET",59,22.5,0.535,2.4,5.1,2.3,2.4,10.1,3.65,0,0,9.9465,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Chris Boucher","TOR",50,17.2,0.492,1.7,4.5,0.7,1,10,5.4,0,0,2.2963,0,0,1,0,1,0,0,0,"Age_3","0 awards"
"Andrew Nembhard","IND",65,28.9,0.458,2.1,3.3,5,1.4,10,4.2,0,0,19.5502,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Ziaire Williams","BRK",63,24.5,0.412,2,4.6,1.3,1.4,10,5.6,0,0,6.25,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Kevin Huerter","2TM",69,24.3,0.425,0.7,3,2.3,1.3,9.9,NA,0,0,17.9911,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Georges Niang","2TM",79,21.5,0.461,0.7,3.4,1.4,0.6,9.9,NA,0,0,8.2,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"Julian Champagnie","SAS",82,23.6,0.415,1.1,3.9,1.4,1.1,9.9,4.4,0,0,3,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Scotty Pippen Jr.","MEM",79,21.3,0.48,2.2,3.3,4.4,1.7,9.9,3.5,0,0,2.5071,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Nick Smith Jr.","CHO",60,22.8,0.391,0.8,2.1,2.4,0.4,9.9,3.8,0,0,2.7107,0,0,0,0,0,0,0,1,NA,"0 awards"
"Bub Carrington","WAS",82,30,0.401,1,4.2,4.4,1,9.8,4.7,0,0,5.612,0,0,0,0,0,1,0,0,NA,"0 awards"
"Moses Moody","GSW",74,22.3,0.433,1.8,2.6,1.3,1.2,9.8,11,0,0,12.5,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Amir Coffey","LAC",72,24.3,0.471,1.8,2.2,1.1,0.7,9.7,7.5,0,0,2.2963,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Max Christie","2TM",78,27.3,0.427,1.9,3.3,1.9,1.2,9.6,NA,0,0,8.2857,0,0,0,0,0,0,0,1,NA,"0 awards"
"Kyle Filipowski","UTA",72,21.1,0.502,2,6.1,1.9,1,9.6,4.1,0,0,3,0,0,0,0,0,0,0,0,NA,"0 awards"
"Tosan Evbuomwan","BRK",28,23.8,0.427,2.6,4.3,2,1.3,9.5,5.6,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Miles McBride","NYK",64,24.9,0.406,1,2.5,2.9,1.3,9.5,9.75,0,0,4.1449,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Jalen Wilson","BRK",79,25.7,0.397,2.1,3.4,1.8,0.6,9.5,5.6,0,0,2.2217,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Nickeil Alexander-Walker","MIN",82,25.3,0.438,1.4,3.2,2.7,1,9.4,3.6,0,0,15.1618,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Cole Anthony","ORL",67,18.4,0.424,1.7,3,2.9,1.2,9.4,3.9,0,0,15.3963,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Anthony Black","ORL",78,24.2,0.423,2.5,2.9,3.1,1.7,9.4,3.9,0,0,9.0383,0,0,0,0,0,1,0,0,NA,"0 awards"
"Max Strus","CLE",50,25.5,0.442,0.7,4.3,3.2,0.7,9.4,4.8,0,0,16.2986,0,1,0,0,0,0,1,0,"Age_2","0 awards"
"Tristan Vukcevic","WAS",35,14.7,0.496,1.9,3.7,1.1,1,9.4,4.7,0,0,NA,0,0,0,0,0,0,0,0,NA,"0 awards"
"Cam Whitmore","HOU",51,16.2,0.444,1.4,3,1,0.9,9.4,5.9,0,0,4.499,0,0,0,0,0,0,1,0,NA,"0 awards"
"Nick Richards","2TM",57,22,0.591,2.8,8.2,0.9,1.2,9.3,NA,0,0,5,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Kel'el Ware","MIA",64,22.2,0.554,1,7.4,0.9,1.7,9.3,5.7,0,0,5.4114,0,0,0,0,0,0,0,0,NA,"0 awards"
"Zach Edey","MEM",66,21.5,0.58,1.9,8.3,1,1.8,9.2,3.5,0,0,6.8152,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Wendell Carter Jr.","ORL",68,25.9,0.46,2.6,7.2,2,1.4,9.1,3.9,0,0,17.3751,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Noah Clowney","BRK",46,22.7,0.358,1.7,3.9,0.9,1,9.1,5.6,0,0,4.4063,0,0,0,0,1,0,0,0,NA,"0 awards"
"Dalton Knecht","LAL",78,19.2,0.461,1.1,2.8,0.8,0.4,9.1,10,0,0,4.888,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"A.J. Lawson","TOR",26,18.7,0.421,2.4,3.3,1.2,0.7,9.1,5.4,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"T.J. McConnell","IND",79,17.9,0.519,1,2.4,4.4,1.4,9.1,4.2,0,0,11.2,0,0,1,0,0,1,0,0,"Age_3","0 awards"
"Yves Missi","NOP",73,26.8,0.547,2.8,8.2,1.4,1.8,9.1,3.55,0,0,4.1539,0,0,0,0,0,0,0,0,NA,"0 awards"
"Royce O'Neale","PHO",75,24.5,0.423,0.3,4.7,2.2,1.4,9.1,5.43,0,0,10.875,0,1,0,0,0,0,1,0,"Age_2","0 awards"
"Jared Butler","2TM",60,17.4,0.448,1.5,1.8,3.7,0.9,9,NA,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Marcus Smart","2TM",34,20,0.393,2.1,2.1,3.2,1.4,9,NA,0,0,16.0558,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Draymond Green","GSW",68,29.2,0.424,2.2,6.1,5.6,2.5,9,11,1,0,26.7857,0,0,1,0,1,0,0,0,"Age_3","1 award"
"Killian Hayes","BRK",6,27,0.419,2,3,5.2,1.4,9,5.6,0,0,NA,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Al Horford","BOS",60,27.7,0.423,0.6,6.2,2.1,1.5,9,6.7,0,0,5.8271,0,0,0,1,0,0,0,0,"Age_4","0 awards"
"Julian Strawther","DEN",65,21.3,0.432,1.4,2.2,1.3,0.8,9,4.6,0,0,3.7506,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Patrick Williams","CHI",63,25,0.397,1.3,3.8,2,1.3,9,6,0,0,18,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Jusuf Nurkić","2TM",51,20.8,0.477,2.5,7.8,2.3,1.5,8.9,NA,0,0,19.375,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Clint Capela","ATL",55,21.4,0.559,1.8,8.5,1.1,1.6,8.9,5,0,0,7.035,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Johnny Juzang","UTA",64,19.8,0.429,0.8,2.9,1.1,0.7,8.9,4.1,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Luke Kennard","MEM",65,22.6,0.478,0.9,2.8,3.3,0.9,8.9,3.5,0,0,11,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Justin Champagnie","WAS",62,21.6,0.511,1.2,5.7,1,1.6,8.8,4.7,0,0,2.6742,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Svi Mykhailiuk","UTA",38,20,0.391,0.9,2.4,2,0.7,8.8,4.1,0,0,3.85,0,1,0,0,0,0,1,0,"Age_2","0 awards"
"Chris Paul","SAS",82,28,0.427,1.1,3.6,7.4,1.6,8.8,4.4,0,0,2.2963,0,0,0,1,0,1,0,0,"Age_4","0 awards"
"Kelly Olynyk","2TM",44,20.3,0.5,2.5,4.7,2.9,1.2,8.7,NA,0,0,13.4451,0,0,1,0,0,0,0,0,"Age_3","0 awards"
"Dorian Finney-Smith","2TM",63,28.9,0.448,0.7,3.9,1.4,1.3,8.7,NA,0,0,13.1762,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"Oshae Brissett","PHI",6,23.7,0.487,2.3,3.7,0.7,1.2,8.7,5.45,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Kentavious Caldwell-Pope","ORL",77,29.6,0.439,1.2,2.2,1.8,1.7,8.7,3.9,0,0,21.6215,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Isaiah Collier","UTA",71,25.9,0.422,2.2,3.3,6.3,1.1,8.7,4.1,0,0,3.4637,0,0,0,0,0,1,0,0,NA,"0 awards"
"Dante Exum","DAL",20,18.6,0.478,1.6,1.7,2.8,0.8,8.7,5.1,0,0,2.2963,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Kyshawn George","WAS",68,26.5,0.372,1.4,4.2,2.5,1.7,8.7,4.7,0,0,3.8369,0,0,0,0,0,0,0,1,NA,"0 awards"
"Jaden Hardy","DAL",57,15.9,0.435,1.5,1.6,1.4,0.6,8.7,5.1,0,0,6,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Dereck Lively II","DAL",36,23.1,0.702,2,7.5,2.4,2.2,8.7,5.1,0,0,6.2462,0,0,0,0,0,0,0,0,NA,"0 awards"
"Tyrese Martin","BRK",60,21.9,0.406,1,3.7,2,0.8,8.7,5.6,0,0,2.1919,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Matas Buzelis","CHI",80,18.9,0.454,1.4,3.5,1,1.3,8.6,6,0,0,6.2517,0,0,0,0,0,0,1,0,NA,"0 awards"
"Jaime Jaquez Jr.","MIA",66,20.7,0.461,2.2,4.4,2.5,1.1,8.6,5.7,0,0,4.9004,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Ja'Kobe Walter","TOR",52,21.2,0.405,1.6,3.1,1.6,1,8.6,5.4,0,0,4.44,0,0,0,0,0,0,0,1,NA,"0 awards"
"Sam Hauser","BOS",71,21.7,0.451,0.2,3.2,0.9,0.8,8.5,6.7,0,0,11.25,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"Larry Nance Jr.","ATL",24,19.3,0.516,0.5,4.3,1.6,1.3,8.5,5,0,0,2.2963,0,0,1,0,1,0,0,0,"Age_3","0 awards"
"Jared Rhoden","2TM",14,16.2,0.483,1.8,3,1.1,0.8,8.4,NA,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Jaylen Nowell","NOP",8,21,0.356,1.4,2.5,2.3,0.6,8.4,3.55,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Cason Wallace","OKC",68,27.6,0.474,0.5,3.4,2.5,2.3,8.4,4.35,0,0,6.6205,0,0,0,0,0,0,0,1,NA,"0 awards"
"Bruce Brown","2TM",41,22.5,0.421,1.6,4,2,1,8.3,NA,0,0,2.2963,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Dalano Banton","POR",67,16.7,0.391,1.9,2,2.4,1.1,8.3,4.25,0,0,NA,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Brandon Clarke","MEM",64,18.9,0.621,1.4,5.1,1,1.4,8.3,3.5,0,0,12.5,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"Keon Ellis","SAC",80,24.4,0.489,1.1,2.7,1.5,2.3,8.3,4.45,0,0,2.3016,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Brandon Williams","DAL",33,14.8,0.521,2,1.8,2.3,0.9,8.3,5.1,0,0,2.2707,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Mike Conley","MIN",71,24.7,0.4,1.3,2.6,4.5,1.3,8.2,3.6,0,0,10.774,0,0,0,1,0,1,0,0,"Age_4","0 awards"
"Taurean Prince","MIL",80,27.1,0.457,0.6,3.6,1.9,1.2,8.2,4.3,0,0,3.5598,0,1,0,0,0,0,1,0,"Age_2","0 awards"
"Jalen Smith","CHI",64,15,0.466,1.4,5.6,1,1,8.2,6,0,0,9.2143,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Quinten Post","GSW",42,16.3,0.449,0.6,3.5,1.3,0.8,8.1,11,0,0,1.9554,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Peyton Watson","DEN",68,24.4,0.477,2,3.4,1.4,2.1,8.1,4.6,0,0,4.3565,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Davion Mitchell","2TM",74,27.4,0.468,1.1,2.3,4.9,1.2,7.9,NA,0,0,12,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Caleb Martin","2TM",45,27.1,0.424,2.2,3.9,2.1,1.5,7.9,NA,0,0,9.6556,0,1,0,0,0,0,1,0,"Age_2","0 awards"
"Tyson Etienne","BRK",7,21.6,0.327,1.4,1.3,1.7,0.5,7.9,5.6,0,0,NA,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Day'Ron Sharpe","BRK",50,18.1,0.521,1.5,6.6,1.8,1.6,7.9,5.6,0,0,6.25,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"KJ Simpson","CHO",36,23.4,0.346,1.4,3,3.1,1.1,7.8,3.8,0,0,NA,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Terance Mann","2TM",67,21.1,0.496,1,3,1.8,0.9,7.7,NA,0,0,15.6667,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Karlo Matković","NOP",42,18.8,0.574,1,5,1.1,1.5,7.7,3.55,0,0,2.1258,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"AJ Johnson","2TM",29,22,0.385,1.3,2,2.6,0.5,7.6,NA,0,0,3.9403,0,0,0,0,0,0,0,1,NA,"0 awards"
"Lonzo Ball","CHI",35,22.2,0.366,0.8,3.4,3.3,1.8,7.6,6,0,0,10,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Oscar Tshiebwe","UTA",14,18.2,0.6,2.2,8.7,0.6,1,7.6,4.1,0,0,NA,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Garrison Mathews","ATL",47,17.7,0.397,1.7,1.9,1.3,0.9,7.5,5,0,0,NA,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Matisse Thybulle","POR",15,20.8,0.477,1,3.5,1.9,2.8,7.5,4.25,0,0,11.55,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"A.J. Green","MIL",73,22.7,0.429,0.4,2.4,1.5,0.6,7.4,4.3,0,0,2.3016,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Josh Green","CHO",68,27.8,0.428,1.1,2.5,1.6,1.3,7.4,3.8,0,0,14.1728,1,0,0,0,0,0,0,1,"Age_1","0 awards"
